date,tmin,tmax,scenario,model,period,station
2071-01-01,-5.95,5.21,SSP119,COLD,2071-2100,Germany_dummy
2071-01-01,-4.95,6.21,SSP119,WARM,2071-2100,Germany_dummy
2071-01-01,-5.45,5.71,SSP126,COLD,2071-2100,Germany_dummy
2071-01-01,-4.45,6.71,SSP126,WARM,2071-2100,Germany_dummy
2071-01-01,-4.45,6.71,SSP245,COLD,2071-2100,Germany_dummy
2071-01-01,-3.45,7.71,SSP245,WARM,2071-2100,Germany_dummy
2071-01-01,-3.45,7.71,SSP370,COLD,2071-2100,Germany_dummy
2071-01-01,-2.45,8.71,SSP370,WARM,2071-2100,Germany_dummy
2071-01-01,-2.45,8.71,SSP585,COLD,2071-2100,Germany_dummy
2071-01-01,-1.45,9.71,SSP585,WARM,2071-2100,Germany_dummy
2071-01-02,-5.62,5.13,SSP119,COLD,2071-2100,Germany_dummy
2071-01-02,-4.62,6.13,SSP119,WARM,2071-2100,Germany_dummy
2071-01-02,-5.12,5.63,SSP126,COLD,2071-2100,Germany_dummy
2071-01-02,-4.12,6.63,SSP126,WARM,2071-2100,Germany_dummy
2071-01-02,-4.12,6.63,SSP245,COLD,2071-2100,Germany_dummy
2071-01-02,-3.12,7.63,SSP245,WARM,2071-2100,Germany_dummy
2071-01-02,-3.12,7.63,SSP370,COLD,2071-2100,Germany_dummy
2071-01-02,-2.12,8.63,SSP370,WARM,2071-2100,Germany_dummy
2071-01-02,-2.12,8.63,SSP585,COLD,2071-2100,Germany_dummy
2071-01-02,-1.12,9.63,SSP585,WARM,2071-2100,Germany_dummy
2071-01-03,-5.31,4.98,SSP119,COLD,2071-2100,Germany_dummy
2071-01-03,-4.31,5.98,SSP119,WARM,2071-2100,Germany_dummy
2071-01-03,-4.81,5.48,SSP126,COLD,2071-2100,Germany_dummy
2071-01-03,-3.81,6.48,SSP126,WARM,2071-2100,Germany_dummy
2071-01-03,-3.81,6.48,SSP245,COLD,2071-2100,Germany_dummy
2071-01-03,-2.81,7.48,SSP245,WARM,2071-2100,Germany_dummy
2071-01-03,-2.81,7.48,SSP370,COLD,2071-2100,Germany_dummy
2071-01-03,-1.81,8.48,SSP370,WARM,2071-2100,Germany_dummy
2071-01-03,-1.81,8.48,SSP585,COLD,2071-2100,Germany_dummy
2071-01-03,-0.81,9.48,SSP585,WARM,2071-2100,Germany_dummy
2071-01-04,-5.03,4.78,SSP119,COLD,2071-2100,Germany_dummy
2071-01-04,-4.03,5.78,SSP119,WARM,2071-2100,Germany_dummy
2071-01-04,-4.53,5.28,SSP126,COLD,2071-2100,Germany_dummy
2071-01-04,-3.53,6.28,SSP126,WARM,2071-2100,Germany_dummy
2071-01-04,-3.53,6.28,SSP245,COLD,2071-2100,Germany_dummy
2071-01-04,-2.53,7.28,SSP245,WARM,2071-2100,Germany_dummy
2071-01-04,-2.53,7.28,SSP370,COLD,2071-2100,Germany_dummy
2071-01-04,-1.53,8.28,SSP370,WARM,2071-2100,Germany_dummy
2071-01-04,-1.53,8.28,SSP585,COLD,2071-2100,Germany_dummy
2071-01-04,-0.53,9.28,SSP585,WARM,2071-2100,Germany_dummy
2071-01-05,-4.8,4.52,SSP119,COLD,2071-2100,Germany_dummy
2071-01-05,-3.8,5.52,SSP119,WARM,2071-2100,Germany_dummy
2071-01-05,-4.3,5.02,SSP126,COLD,2071-2100,Germany_dummy
2071-01-05,-3.3,6.02,SSP126,WARM,2071-2100,Germany_dummy
2071-01-05,-3.3,6.02,SSP245,COLD,2071-2100,Germany_dummy
2071-01-05,-2.3,7.02,SSP245,WARM,2071-2100,Germany_dummy
2071-01-05,-2.3,7.02,SSP370,COLD,2071-2100,Germany_dummy
2071-01-05,-1.3,8.02,SSP370,WARM,2071-2100,Germany_dummy
2071-01-05,-1.3,8.02,SSP585,COLD,2071-2100,Germany_dummy
2071-01-05,-0.3,9.02,SSP585,WARM,2071-2100,Germany_dummy
2071-01-06,-4.61,4.24,SSP119,COLD,2071-2100,Germany_dummy
2071-01-06,-3.61,5.24,SSP119,WARM,2071-2100,Germany_dummy
2071-01-06,-4.11,4.74,SSP126,COLD,2071-2100,Germany_dummy
2071-01-06,-3.11,5.74,SSP126,WARM,2071-2100,Germany_dummy
2071-01-06,-3.11,5.74,SSP245,COLD,2071-2100,Germany_dummy
2071-01-06,-2.11,6.74,SSP245,WARM,2071-2100,Germany_dummy
2071-01-06,-2.11,6.74,SSP370,COLD,2071-2100,Germany_dummy
2071-01-06,-1.11,7.74,SSP370,WARM,2071-2100,Germany_dummy
2071-01-06,-1.11,7.74,SSP585,COLD,2071-2100,Germany_dummy
2071-01-06,-0.11,8.74,SSP585,WARM,2071-2100,Germany_dummy
2071-01-07,-4.48,3.95,SSP119,COLD,2071-2100,Germany_dummy
