date,tmin,tmax,station,period
1981-01-01,-3.3,1.12,East_Germany,historical_1981_2010
1981-01-02,-6.21,-1.76,East_Germany,historical_1981_2010
1981-01-03,-2.5,1.92,East_Germany,historical_1981_2010
1981-01-04,-1.71,1.79,East_Germany,historical_1981_2010
1981-01-05,-8.19,-3.99,East_Germany,historical_1981_2010
1981-01-06,-6.53,-3.03,East_Germany,historical_1981_2010
1981-01-07,-4.65,0.99,East_Germany,historical_1981_2010
1981-01-08,-5.61,-0.02,East_Germany,historical_1981_2010
1981-01-09,-4.73,0.27,East_Germany,historical_1981_2010
1981-01-10,-6.1,-1.97,East_Germany,historical_1981_2010
1981-01-11,-2.19,1.32,East_Germany,historical_1981_2010
1981-01-12,-2.58,1.21,East_Germany,historical_1981_2010
1981-01-13,-5.14,0.72,East_Germany,historical_1981_2010
1981-01-14,-1.89,1.86,East_Germany,historical_1981_2010
1981-01-15,-3.18,0.32,East_Germany,historical_1981_2010
1981-01-16,-6.8,-1.67,East_Germany,historical_1981_2010
1981-01-17,-4.43,1.07,East_Germany,historical_1981_2010
1981-01-18,-7.29,-1.67,East_Germany,historical_1981_2010
1981-01-19,-3.2,1.93,East_Germany,historical_1981_2010
1981-01-20,-5.23,0.04,East_Germany,historical_1981_2010
1981-01-21,-5.06,-0.71,East_Germany,historical_1981_2010
1981-01-22,-5.68,-2.18,East_Germany,historical_1981_2010
1981-01-23,-2.1,2.23,East_Germany,historical_1981_2010
1981-01-24,-5.23,-0.41,East_Germany,historical_1981_2010
1981-01-25,-5.49,-1.28,East_Germany,historical_1981_2010
1981-01-26,-5.31,-1.13,East_Germany,historical_1981_2010
1981-01-27,-3.13,0.43,East_Germany,historical_1981_2010
1981-01-28,-3.45,0.09,East_Germany,historical_1981_2010
1981-01-29,-4.47,1.35,East_Germany,historical_1981_2010
1981-01-30,-4.42,1.43,East_Germany,historical_1981_2010
1981-01-31,-0.06,4.3,East_Germany,historical_1981_2010
1981-02-01,-5.49,-0.9,East_Germany,historical_1981_2010
1981-02-02,-5.18,-1.59,East_Germany,historical_1981_2010
1981-02-03,-6.43,-1.53,East_Germany,historical_1981_2010
1981-02-04,-3.84,1.97,East_Germany,historical_1981_2010
1981-02-05,-1.56,1.94,East_Germany,historical_1981_2010
1981-02-06,-4.77,0.02,East_Germany,historical_1981_2010
1981-02-07,-6.29,-1.42,East_Germany,historical_1981_2010
1981-02-08,-6.2,-1.33,East_Germany,historical_1981_2010
1981-02-09,-3.5,2.28,East_Germany,historical_1981_2010
1981-02-10,-3.41,2.7,East_Germany,historical_1981_2010
1981-02-11,-2.86,1.44,East_Germany,historical_1981_2010
1981-02-12,-5.71,-0.66,East_Germany,historical_1981_2010
1981-02-13,-3.52,1.07,East_Germany,historical_1981_2010
1981-02-14,-3.41,0.62,East_Germany,historical_1981_2010
1981-02-15,-3.49,1.28,East_Germany,historical_1981_2010
1981-02-16,-2.21,2.9,East_Germany,historical_1981_2010
1981-02-17,-3.32,1.45,East_Germany,historical_1981_2010
1981-02-18,-1.85,2.07,East_Germany,historical_1981_2010
1981-02-19,-3.22,1.05,East_Germany,historical_1981_2010
1981-02-20,-2.67,1.62,East_Germany,historical_1981_2010
1981-02-21,-1.72,2.29,East_Germany,historical_1981_2010
1981-02-22,-6.48,-1.53,East_Germany,historical_1981_2010
1981-02-23,-4.04,1.02,East_Germany,historical_1981_2010
1981-02-24,-4.49,1.04,East_Germany,historical_1981_2010
1981-02-25,-4.01,0.07,East_Germany,historical_1981_2010
1981-02-26,-3.26,1.07,East_Germany,historical_1981_2010
1981-02-27,-0.3,5.76,East_Germany,historical_1981_2010
1981-02-28,-4.46,0.24,East_Germany,historical_1981_2010
1981-03-01,-0.59,4.3,East_Germany,historical_1981_2010
1981-03-02,-5.96,-1.21,East_Germany,historical_1981_2010
1981-03-03,-3.55,2.28,East_Germany,historical_1981_2010
1981-03-04,-2.4,3.48,East_Germany,historical_1981_2010
1981-03-05,-1.38,4.49,East_Germany,historical_1981_2010
1981-03-06,-0.56,4.46,East_Germany,historical_1981_2010
1981-03-07,0.09,4.42,East_Germany,historical_1981_2010
1981-03-08,-3.3,3.29,East_Germany,historical_1981_2010
1981-03-09,-2.99,2.78,East_Germany,historical_1981_2010
1981-03-10,0.43,5.18,East_Germany,historical_1981_2010
1981-03-11,-2.39,3.89,East_Germany,historical_1981_2010
1981-03-12,-3.76,0.99,East_Germany,historical_1981_2010
1981-03-13,-4.1,2.23,East_Germany,historical_1981_2010
1981-03-14,-3.55,2.87,East_Germany,historical_1981_2010
1981-03-15,0.53,5.05,East_Germany,historical_1981_2010
1981-03-16,-0.68,5.08,East_Germany,historical_1981_2010
1981-03-17,0.53,6.48,East_Germany,historical_1981_2010
1981-03-18,-2.41,5.04,East_Germany,historical_1981_2010
1981-03-19,0.31,5.11,East_Germany,historical_1981_2010
1981-03-20,0.57,7.14,East_Germany,historical_1981_2010
1981-03-21,-0.68,4.79,East_Germany,historical_1981_2010
1981-03-22,1.58,6.08,East_Germany,historical_1981_2010
1981-03-23,-1.07,4.36,East_Germany,historical_1981_2010
1981-03-24,-0.34,5.23,East_Germany,historical_1981_2010
1981-03-25,0.2,4.95,East_Germany,historical_1981_2010
1981-03-26,-1.9,3.98,East_Germany,historical_1981_2010
1981-03-27,1.54,7.96,East_Germany,historical_1981_2010
1981-03-28,-0.03,5.86,East_Germany,historical_1981_2010
1981-03-29,1.46,6.76,East_Germany,historical_1981_2010
1981-03-30,2.45,8.1,East_Germany,historical_1981_2010
1981-03-31,2.48,8.28,East_Germany,historical_1981_2010
1981-04-01,3.01,9.03,East_Germany,historical_1981_2010
1981-04-02,1.22,7.98,East_Germany,historical_1981_2010
1981-04-03,1.04,7.17,East_Germany,historical_1981_2010
1981-04-04,2.6,7.43,East_Germany,historical_1981_2010
1981-04-05,-0.95,4.59,East_Germany,historical_1981_2010
1981-04-06,-0.56,5.59,East_Germany,historical_1981_2010
1981-04-07,-0.51,6.45,East_Germany,historical_1981_2010
1981-04-08,0.27,7.41,East_Germany,historical_1981_2010
1981-04-09,3.19,10.74,East_Germany,historical_1981_2010
1981-04-10,1.28,7.55,East_Germany,historical_1981_2010
1981-04-11,2.31,9.13,East_Germany,historical_1981_2010
1981-04-12,6.89,11.97,East_Germany,historical_1981_2010
1981-04-13,2.83,9.46,East_Germany,historical_1981_2010
1981-04-14,5.91,11.37,East_Germany,historical_1981_2010
1981-04-15,2.17,8.48,East_Germany,historical_1981_2010
1981-04-16,2.64,11.46,East_Germany,historical_1981_2010
1981-04-17,2.35,9.02,East_Germany,historical_1981_2010
1981-04-18,4.27,10.06,East_Germany,historical_1981_2010
1981-04-19,6.42,13.26,East_Germany,historical_1981_2010
1981-04-20,1.58,7.71,East_Germany,historical_1981_2010
1981-04-21,6.47,12.29,East_Germany,historical_1981_2010
1981-04-22,5.01,13.32,East_Germany,historical_1981_2010
1981-04-23,3.86,11.37,East_Germany,historical_1981_2010
1981-04-24,2.54,9.51,East_Germany,historical_1981_2010
1981-04-25,6.2,12.62,East_Germany,historical_1981_2010
1981-04-26,5.08,11.61,East_Germany,historical_1981_2010
1981-04-27,6.12,14.17,East_Germany,historical_1981_2010
1981-04-28,6.35,13.45,East_Germany,historical_1981_2010
1981-04-29,11.2,15.62,East_Germany,historical_1981_2010
1981-04-30,5.31,14.17,East_Germany,historical_1981_2010
1981-05-01,4.74,11.85,East_Germany,historical_1981_2010
1981-05-02,7.38,14.65,East_Germany,historical_1981_2010
1981-05-03,7.34,15.25,East_Germany,historical_1981_2010
1981-05-04,10.16,17.61,East_Germany,historical_1981_2010
1981-05-05,9.12,16.83,East_Germany,historical_1981_2010
1981-05-06,8.76,15.57,East_Germany,historical_1981_2010
1981-05-07,11.58,17.78,East_Germany,historical_1981_2010
1981-05-08,5.59,13.03,East_Germany,historical_1981_2010
1981-05-09,6.45,14.85,East_Germany,historical_1981_2010
1981-05-10,6.85,13.62,East_Germany,historical_1981_2010
1981-05-11,8.19,14.93,East_Germany,historical_1981_2010
1981-05-12,5.5,13.84,East_Germany,historical_1981_2010
1981-05-13,10.57,17.6,East_Germany,historical_1981_2010
1981-05-14,8.92,16.02,East_Germany,historical_1981_2010
1981-05-15,6.45,13.62,East_Germany,historical_1981_2010
1981-05-16,7.45,14.9,East_Germany,historical_1981_2010
1981-05-17,11.01,17.28,East_Germany,historical_1981_2010
1981-05-18,11.87,19.0,East_Germany,historical_1981_2010
1981-05-19,14.15,21.93,East_Germany,historical_1981_2010
1981-05-20,16.24,24.05,East_Germany,historical_1981_2010
1981-05-21,10.78,19.37,East_Germany,historical_1981_2010
1981-05-22,7.72,16.89,East_Germany,historical_1981_2010
1981-05-23,5.61,14.55,East_Germany,historical_1981_2010
1981-05-24,11.05,19.53,East_Germany,historical_1981_2010
1981-05-25,9.36,17.03,East_Germany,historical_1981_2010
1981-05-26,10.54,17.86,East_Germany,historical_1981_2010
1981-05-27,10.02,17.88,East_Germany,historical_1981_2010
1981-05-28,10.93,19.28,East_Germany,historical_1981_2010
1981-05-29,13.52,22.08,East_Germany,historical_1981_2010
1981-05-30,11.84,20.27,East_Germany,historical_1981_2010
1981-05-31,11.62,19.49,East_Germany,historical_1981_2010
1981-06-01,9.56,18.18,East_Germany,historical_1981_2010
1981-06-02,8.17,17.19,East_Germany,historical_1981_2010
1981-06-03,10.95,19.7,East_Germany,historical_1981_2010
1981-06-04,12.37,20.41,East_Germany,historical_1981_2010
1981-06-05,16.65,24.08,East_Germany,historical_1981_2010
1981-06-06,13.35,20.79,East_Germany,historical_1981_2010
1981-06-07,15.2,22.81,East_Germany,historical_1981_2010
1981-06-08,11.84,20.23,East_Germany,historical_1981_2010
1981-06-09,10.43,19.04,East_Germany,historical_1981_2010
1981-06-10,11.79,18.88,East_Germany,historical_1981_2010
1981-06-11,12.05,19.89,East_Germany,historical_1981_2010
1981-06-12,17.86,26.33,East_Germany,historical_1981_2010
1981-06-13,12.25,19.82,East_Germany,historical_1981_2010
1981-06-14,15.31,23.97,East_Germany,historical_1981_2010
1981-06-15,12.07,20.16,East_Germany,historical_1981_2010
1981-06-16,16.2,23.97,East_Germany,historical_1981_2010
1981-06-17,14.85,23.27,East_Germany,historical_1981_2010
1981-06-18,13.68,22.39,East_Germany,historical_1981_2010
1981-06-19,14.52,22.26,East_Germany,historical_1981_2010
1981-06-20,13.09,21.33,East_Germany,historical_1981_2010
1981-06-21,15.22,24.04,East_Germany,historical_1981_2010
